"obligation","profile","command","blocking","status","note","artifact"
"FO-V9-002","v9","cargo test -p oxvba-host formal_v9_byref_propagates_mutation","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V9-003","v9","cargo test -p oxvba-host formal_v9_byref_requires_variable_argument","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V10-001","v10","cargo test -p oxvba-host formal_v10_array_store_load_roundtrip","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V10-002","v10","cargo test -p oxvba-host formal_v10_array_bounds_violation_errors","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V10-003","v10","cargo test -p oxvba-host formal_v10_array_index_zero_is_valid","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V11-001","v11","cargo test -p oxvba-host formal_v11_resume_next_records_error_number","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V11-002","v11","cargo test -p oxvba-host formal_v11_default_error_mode_fails","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V11-003","v11","cargo test -p oxvba-host formal_v11_resume_next_continues_execution","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V12-001","v12","cargo test -p oxvba-host formal_v12_on_error_goto_zero_restores_fail_behavior","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V12-002","v12","cargo test -p oxvba-host formal_v12_resume_next_statement_no_panic","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V12-003","v12","cargo test -p oxvba-host formal_v12_resume_next_then_continue_updates_value","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V13-001","v13","cargo test -p oxvba-host formal_v13_variant_numeric_coercion_long_to_double","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V13-002","v13","cargo test -p oxvba-host formal_v13_variant_numeric_bool_to_long","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V13-003","v13","cargo test -p oxvba-host formal_v13_variant_numeric_addition_consistency","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V14-001","v14","cargo test -p oxvba-host formal_v14_bstr_roundtrip_ascii","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V14-002","v14","cargo test -p oxvba-host formal_v14_bstr_concat_law","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V14-003","v14","cargo test -p oxvba-host formal_v14_bstr_empty_identity","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V15-001","v15","cargo test -p oxvba-host formal_v15_date_currency_projection_is_stable","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V15-002","v15","cargo test -p oxvba-host formal_v15_currency_scale_roundtrip","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V15-003","v15","cargo test -p oxvba-host formal_v15_date_addition_monotonicity","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V16-001","v16","cargo test -p oxvba-host formal_v16_spec_trace_matches_runtime_small_program","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V16-002","v16","cargo test -p oxvba-host formal_v16_spec_trace_matches_branch_program","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V16-003","v16","cargo test -p oxvba-host formal_v16_trace_format_is_csv_stable","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V17-001","v17","cargo test -p oxvba-host formal_v17_formal_manifest_has_active_entries","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V17-002","v17","cargo test -p oxvba-host formal_v17_runner_script_exists","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V17-003","v17","cargo test -p oxvba-host formal_v17_meta_check_includes_formal_switch","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V18-001","v18","cargo test -p oxvba-host formal_v18_divergence_index_is_present","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V18-002","v18","cargo test -p oxvba-host formal_v18_divergence_records_have_scope_lines","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V18-003","v18","cargo test -p oxvba-host formal_v18_divergence_records_link_evidence","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V19-001","v19","cargo test -p oxvba-compiler formal_v19_noop_assignments_removed","no","pass","","crates/oxvba-compiler/src/optimize.rs"
"FO-V19-002","v19","cargo test -p oxvba-compiler formal_v19_optimizer_preserves_non_noop_assignments","no","pass","","crates/oxvba-compiler/src/optimize.rs"
"FO-V19-003","v19","cargo test -p oxvba-compiler formal_v19_constant_if_eliminates_unreachable_branch","no","pass","","crates/oxvba-compiler/src/optimize.rs"
"FO-V19-004","v19","cargo test -p oxvba-compiler formal_v19_constant_select_case_is_folded","no","pass","","crates/oxvba-compiler/src/optimize.rs"
"FO-V19-005","v19","cargo test -p oxvba-compiler formal_v19_for_loop_semantics_preserved_with_optimized_body","no","pass","","crates/oxvba-compiler/src/optimize.rs"
"FO-V20-001","v20","cargo test -p oxvba-host formal_v20_jit_vm_equivalence_arithmetic","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V20-002","v20","cargo test -p oxvba-host formal_v20_jit_vm_equivalence_control_flow","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V20-003","v20","cargo test -p oxvba-host formal_v20_jit_vm_equivalence_error_state","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V21-001","v21","cargo test -p oxvba-host formal_v21_opt_toggle_parity","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V21-002","v21","cargo test -p oxvba-host formal_v21_jit_vm_guardrail_equivalence","no","pass","","crates/oxvba-host/src/engine.rs"
"FO-V21-003","v21","cargo test -p oxvba-host formal_v21_benchmark_script_exists","no","pass","","crates/oxvba-host/src/engine.rs"
